myservice,0.33%,807.6MiB / 30.25GiB,3.76MB / 4.67MB
backend-a-1,0.19%,381.5MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.13%,267.3MiB / 30.25GiB,2.34kB / 1.21kB
node-exporter,0.00%,12.26MiB / 30.25GiB,27.4kB / 513kB
prometheus,1.15%,62.81MiB / 30.25GiB,1.14MB / 2.98MB
dazzling_dirac,0.13%,1.08GiB / 30.25GiB,3.73MB / 3.53MB
grafana,1.88%,78.29MiB / 30.25GiB,85.9kB / 159kB
myservice,0.12%,807.6MiB / 30.25GiB,3.76MB / 4.67MB
backend-a-1,0.13%,383.9MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.13%,267.2MiB / 30.25GiB,2.53kB / 1.25kB
node-exporter,1.54%,12.36MiB / 30.25GiB,28.1kB / 527kB
prometheus,0.34%,62.55MiB / 30.25GiB,1.16MB / 2.98MB
dazzling_dirac,0.14%,1.08GiB / 30.25GiB,3.73MB / 3.53MB
grafana,1.31%,78.29MiB / 30.25GiB,86kB / 159kB
myservice,0.15%,807.6MiB / 30.25GiB,3.76MB / 4.69MB
backend-a-1,0.61%,383.9MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.53%,267.3MiB / 30.25GiB,2.53kB / 1.25kB
node-exporter,0.00%,12.36MiB / 30.25GiB,28.1kB / 527kB
prometheus,0.00%,62.56MiB / 30.25GiB,1.18MB / 2.98MB
dazzling_dirac,0.09%,1.08GiB / 30.25GiB,3.73MB / 3.53MB
grafana,1.20%,78.29MiB / 30.25GiB,86kB / 159kB
myservice,0.13%,807.6MiB / 30.25GiB,3.77MB / 4.71MB
backend-a-1,0.13%,383.9MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.18%,267.2MiB / 30.25GiB,2.53kB / 1.25kB
node-exporter,0.00%,12.38MiB / 30.25GiB,28.8kB / 542kB
prometheus,0.78%,62.56MiB / 30.25GiB,1.21MB / 2.98MB
dazzling_dirac,0.12%,1.08GiB / 30.25GiB,3.73MB / 3.53MB
grafana,1.36%,78.29MiB / 30.25GiB,86.3kB / 159kB
myservice,0.33%,807.6MiB / 30.25GiB,3.77MB / 4.71MB
backend-a-1,0.14%,383.8MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.15%,267.2MiB / 30.25GiB,2.53kB / 1.25kB
node-exporter,0.00%,12.38MiB / 30.25GiB,28.8kB / 542kB
prometheus,0.08%,62.57MiB / 30.25GiB,1.21MB / 2.98MB
dazzling_dirac,0.11%,1.08GiB / 30.25GiB,3.73MB / 3.53MB
grafana,1.30%,78.29MiB / 30.25GiB,86.3kB / 159kB
myservice,0.11%,807.8MiB / 30.25GiB,3.77MB / 4.73MB
backend-a-1,0.20%,383.9MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.15%,267.2MiB / 30.25GiB,2.53kB / 1.25kB
node-exporter,0.00%,12.42MiB / 30.25GiB,29.6kB / 557kB
prometheus,0.00%,62.69MiB / 30.25GiB,1.24MB / 2.98MB
dazzling_dirac,0.10%,1.08GiB / 30.25GiB,3.73MB / 3.53MB
grafana,1.27%,78.3MiB / 30.25GiB,86.8kB / 159kB
myservice,1.16%,808.1MiB / 30.25GiB,3.77MB / 4.74MB
backend-a-1,0.13%,383.9MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.13%,267.2MiB / 30.25GiB,2.53kB / 1.25kB
node-exporter,1.60%,13.19MiB / 30.25GiB,30.3kB / 571kB
prometheus,0.00%,62.57MiB / 30.25GiB,1.24MB / 2.98MB
dazzling_dirac,0.13%,1.08GiB / 30.25GiB,3.73MB / 3.53MB
grafana,1.18%,78.3MiB / 30.25GiB,87.1kB / 160kB
myservice,2.66%,798MiB / 30.25GiB,3.77MB / 4.74MB
backend-a-1,0.19%,382.3MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.21%,267.2MiB / 30.25GiB,2.53kB / 1.25kB
node-exporter,0.00%,13.19MiB / 30.25GiB,30.3kB / 571kB
prometheus,0.00%,62.56MiB / 30.25GiB,1.28MB / 2.99MB
dazzling_dirac,156.39%,1.108GiB / 30.25GiB,4.08MB / 3.87MB
grafana,1.04%,78.3MiB / 30.25GiB,87.1kB / 160kB
myservice,178.06%,835.4MiB / 30.25GiB,4.08MB / 5.12MB
backend-a-1,0.11%,384.3MiB / 30.25GiB,364kB / 396kB
backend-b-1,0.10%,267.2MiB / 30.25GiB,2.53kB / 1.25kB
node-exporter,0.00%,12.38MiB / 30.25GiB,31kB / 586kB
prometheus,0.00%,63.23MiB / 30.25GiB,1.31MB / 2.99MB
dazzling_dirac,0.13%,1.204GiB / 30.25GiB,5.24MB / 4.93MB
grafana,1.04%,78.31MiB / 30.25GiB,87.1kB / 160kB
myservice,0.20%,842MiB / 30.25GiB,5.11MB / 6.27MB
backend-a-1,0.16%,384.3MiB / 30.25GiB,364kB / 396kB
backend-b-1,0.12%,267.2MiB / 30.25GiB,2.53kB / 1.25kB
node-exporter,1.39%,12.38MiB / 30.25GiB,31.8kB / 601kB
prometheus,0.00%,63.23MiB / 30.25GiB,1.31MB / 2.99MB
dazzling_dirac,0.25%,1.196GiB / 30.25GiB,5.24MB / 4.94MB
grafana,1.18%,78.31MiB / 30.25GiB,87.7kB / 160kB
myservice,0.11%,841.9MiB / 30.25GiB,5.11MB / 6.29MB
backend-a-1,0.12%,384.3MiB / 30.25GiB,364kB / 396kB
backend-b-1,8.91%,268.4MiB / 30.25GiB,2.53kB / 1.4kB
node-exporter,0.00%,12.38MiB / 30.25GiB,31.8kB / 601kB
prometheus,0.08%,63.24MiB / 30.25GiB,1.34MB / 2.99MB
dazzling_dirac,0.10%,1.196GiB / 30.25GiB,5.24MB / 4.94MB
grafana,1.34%,78.31MiB / 30.25GiB,87.7kB / 160kB
myservice,1.39%,842MiB / 30.25GiB,5.11MB / 6.31MB
backend-a-1,0.15%,384.3MiB / 30.25GiB,364kB / 396kB
backend-b-1,0.10%,268.3MiB / 30.25GiB,2.53kB / 1.4kB
node-exporter,0.00%,13.26MiB / 30.25GiB,32.5kB / 615kB
prometheus,0.77%,63.25MiB / 30.25GiB,1.38MB / 2.99MB
dazzling_dirac,0.14%,1.196GiB / 30.25GiB,5.24MB / 4.94MB
grafana,1.13%,78.31MiB / 30.25GiB,88kB / 161kB
myservice,0.12%,842MiB / 30.25GiB,5.11MB / 6.31MB
backend-a-1,0.20%,392MiB / 30.25GiB,364kB / 396kB
backend-b-1,0.12%,268.2MiB / 30.25GiB,2.67kB / 1.4kB
node-exporter,0.00%,13.26MiB / 30.25GiB,32.5kB / 615kB
prometheus,0.08%,63.25MiB / 30.25GiB,1.38MB / 2.99MB
dazzling_dirac,0.14%,1.196GiB / 30.25GiB,5.24MB / 4.94MB
grafana,1.24%,78.31MiB / 30.25GiB,88kB / 161kB
myservice,0.16%,842MiB / 30.25GiB,5.11MB / 6.33MB
backend-a-1,0.19%,392MiB / 30.25GiB,364kB / 396kB
backend-b-1,0.17%,268.2MiB / 30.25GiB,2.72kB / 1.44kB
node-exporter,0.00%,12.88MiB / 30.25GiB,33.3kB / 630kB
prometheus,0.71%,61.07MiB / 30.25GiB,1.41MB / 2.99MB
dazzling_dirac,0.12%,1.196GiB / 30.25GiB,5.24MB / 4.94MB
grafana,1.10%,78.31MiB / 30.25GiB,88kB / 161kB
myservice,4.69%,842.1MiB / 30.25GiB,5.11MB / 6.35MB
backend-a-1,0.14%,392MiB / 30.25GiB,364kB / 396kB
backend-b-1,0.20%,268.2MiB / 30.25GiB,2.72kB / 1.44kB
node-exporter,1.56%,12.2MiB / 30.25GiB,34kB / 644kB
prometheus,0.27%,60.95MiB / 30.25GiB,1.44MB / 2.99MB
dazzling_dirac,0.15%,1.196GiB / 30.25GiB,5.24MB / 4.94MB
grafana,1.26%,78.31MiB / 30.25GiB,88.6kB / 161kB
myservice,0.12%,842.1MiB / 30.25GiB,5.11MB / 6.35MB
backend-a-1,0.17%,392MiB / 30.25GiB,364kB / 396kB
backend-b-1,0.14%,268.2MiB / 30.25GiB,2.72kB / 1.44kB
node-exporter,0.00%,12.2MiB / 30.25GiB,34kB / 644kB
prometheus,0.00%,60.98MiB / 30.25GiB,1.44MB / 2.99MB
dazzling_dirac,0.11%,1.196GiB / 30.25GiB,5.24MB / 4.94MB
grafana,1.25%,78.31MiB / 30.25GiB,88.7kB / 162kB
myservice,0.17%,842.2MiB / 30.25GiB,5.11MB / 6.37MB
backend-a-1,0.14%,392MiB / 30.25GiB,364kB / 396kB
backend-b-1,0.12%,268.2MiB / 30.25GiB,2.72kB / 1.44kB
node-exporter,0.00%,12.42MiB / 30.25GiB,34.7kB / 659kB
prometheus,1.01%,61.1MiB / 30.25GiB,1.48MB / 3MB
dazzling_dirac,0.09%,1.196GiB / 30.25GiB,5.24MB / 4.94MB
grafana,0.97%,78.44MiB / 30.25GiB,88.9kB / 162kB
myservice,0.12%,842.2MiB / 30.25GiB,5.11MB / 6.37MB
backend-a-1,0.12%,392MiB / 30.25GiB,364kB / 396kB
backend-b-1,0.13%,268.2MiB / 30.25GiB,2.72kB / 1.44kB
node-exporter,0.00%,12.42MiB / 30.25GiB,34.7kB / 659kB
prometheus,0.08%,50.19MiB / 30.25GiB,1.48MB / 3MB
dazzling_dirac,0.14%,1.196GiB / 30.25GiB,5.24MB / 4.94MB
grafana,1.05%,78.31MiB / 30.25GiB,88.9kB / 162kB
myservice,0.16%,842.2MiB / 30.25GiB,5.12MB / 6.38MB
backend-a-1,0.13%,392MiB / 30.25GiB,364kB / 396kB
