# --- TEST_START: 1746951002 ---
backend-a-1,230.13%,714.1MiB / 30.25GiB,44.6MB / 54.5MB
myservice,0.10%,433.9MiB / 30.25GiB,269kB / 6.29MB
backend-b-1,57.44%,656.1MiB / 30.25GiB,38.6MB / 41.8MB
node-exporter,0.00%,15.14MiB / 30.25GiB,267kB / 5.26MB
cool_tesla,0.21%,2.08GiB / 30.25GiB,9.55MB / 8.83MB
grafana,1.19%,84.63MiB / 30.25GiB,71.9kB / 103kB
prometheus,0.22%,61.54MiB / 30.25GiB,11.6MB / 3.46MB
backend-a-1,0.12%,713.3MiB / 30.25GiB,45MB / 54.9MB
myservice,0.16%,433.9MiB / 30.25GiB,270kB / 6.31MB
backend-b-1,0.12%,656MiB / 30.25GiB,38.9MB / 42.2MB
node-exporter,0.00%,15.14MiB / 30.25GiB,267kB / 5.26MB
cool_tesla,0.11%,2.08GiB / 30.25GiB,9.55MB / 8.85MB
grafana,1.14%,84.63MiB / 30.25GiB,71.9kB / 103kB
prometheus,0.14%,61.42MiB / 30.25GiB,11.6MB / 3.46MB
backend-a-1,0.11%,713.3MiB / 30.25GiB,45MB / 54.9MB
myservice,0.58%,433.9MiB / 30.25GiB,271kB / 6.32MB
backend-b-1,0.13%,656MiB / 30.25GiB,38.9MB / 42.2MB
node-exporter,0.00%,14.95MiB / 30.25GiB,267kB / 5.28MB
cool_tesla,0.10%,2.08GiB / 30.25GiB,9.55MB / 8.88MB
grafana,1.30%,84.63MiB / 30.25GiB,71.9kB / 103kB
prometheus,0.01%,61.42MiB / 30.25GiB,11.6MB / 3.46MB
backend-a-1,0.10%,713.3MiB / 30.25GiB,45MB / 54.9MB
myservice,0.12%,433.9MiB / 30.25GiB,271kB / 6.32MB
backend-b-1,0.13%,656MiB / 30.25GiB,38.9MB / 42.2MB
node-exporter,0.00%,14.59MiB / 30.25GiB,268kB / 5.29MB
cool_tesla,0.10%,2.08GiB / 30.25GiB,9.55MB / 8.88MB
grafana,1.14%,84.63MiB / 30.25GiB,71.9kB / 103kB
prometheus,0.00%,61.49MiB / 30.25GiB,11.6MB / 3.46MB
backend-a-1,0.11%,713.3MiB / 30.25GiB,45MB / 54.9MB
myservice,0.11%,433.9MiB / 30.25GiB,272kB / 6.34MB
backend-b-1,0.12%,656MiB / 30.25GiB,38.9MB / 42.2MB
node-exporter,0.00%,14.59MiB / 30.25GiB,268kB / 5.29MB
cool_tesla,0.13%,2.08GiB / 30.25GiB,9.55MB / 8.91MB
grafana,1.19%,84.64MiB / 30.25GiB,71.9kB / 103kB
prometheus,0.85%,61.49MiB / 30.25GiB,11.7MB / 3.46MB
backend-a-1,0.12%,713.3MiB / 30.25GiB,45MB / 54.9MB
myservice,0.53%,433.9MiB / 30.25GiB,272kB / 6.36MB
backend-b-1,2.13%,656MiB / 30.25GiB,38.9MB / 42.2MB
node-exporter,0.00%,14.72MiB / 30.25GiB,269kB / 5.31MB
cool_tesla,0.33%,2.08GiB / 30.25GiB,9.55MB / 8.92MB
grafana,1.24%,84.64MiB / 30.25GiB,71.9kB / 103kB
prometheus,0.28%,61.48MiB / 30.25GiB,11.7MB / 3.46MB
backend-a-1,0.19%,713.3MiB / 30.25GiB,45MB / 54.9MB
myservice,0.13%,433.9MiB / 30.25GiB,272kB / 6.36MB
backend-b-1,0.18%,656MiB / 30.25GiB,38.9MB / 42.2MB
node-exporter,0.00%,14.72MiB / 30.25GiB,269kB / 5.31MB
cool_tesla,0.12%,2.08GiB / 30.25GiB,9.55MB / 8.92MB
grafana,1.12%,84.64MiB / 30.25GiB,71.9kB / 103kB
prometheus,0.00%,61.49MiB / 30.25GiB,11.7MB / 3.46MB
backend-a-1,0.17%,713.3MiB / 30.25GiB,45MB / 54.9MB
myservice,0.15%,433.9MiB / 30.25GiB,273kB / 6.38MB
backend-b-1,0.11%,656MiB / 30.25GiB,38.9MB / 42.2MB
node-exporter,0.00%,14.71MiB / 30.25GiB,270kB / 5.32MB
cool_tesla,0.12%,2.08GiB / 30.25GiB,9.55MB / 8.92MB
grafana,1.24%,84.63MiB / 30.25GiB,72kB / 103kB
prometheus,0.68%,61.49MiB / 30.25GiB,11.7MB / 3.46MB
backend-a-1,0.13%,713.3MiB / 30.25GiB,45MB / 54.9MB
myservice,0.13%,433.9MiB / 30.25GiB,273kB / 6.38MB
backend-b-1,0.13%,656MiB / 30.25GiB,38.9MB / 42.2MB
node-exporter,1.89%,15.05MiB / 30.25GiB,270kB / 5.34MB
cool_tesla,0.12%,2.08GiB / 30.25GiB,9.55MB / 8.92MB
grafana,1.16%,84.63MiB / 30.25GiB,72kB / 103kB
prometheus,0.03%,61.49MiB / 30.25GiB,11.7MB / 3.46MB
backend-a-1,0.11%,713.3MiB / 30.25GiB,45MB / 54.9MB
myservice,0.12%,433.9MiB / 30.25GiB,274kB / 6.39MB
backend-b-1,0.13%,656MiB / 30.25GiB,38.9MB / 42.2MB
node-exporter,0.04%,15.05MiB / 30.25GiB,271kB / 5.34MB
cool_tesla,0.11%,2.08GiB / 30.25GiB,9.55MB / 8.93MB
grafana,1.21%,84.63MiB / 30.25GiB,72kB / 103kB
prometheus,0.12%,61.5MiB / 30.25GiB,11.8MB / 3.46MB
